File,ScaleFactor,CR,MAE_mm,RMSE_mm,CompTime_s,DecompTime_s
Sculpture,0.1,11.5786367800963,49.3270511925655,51.1666182080044,1.2560984,2.0251772
Sculpture,0.01,11.1998314901266,4.80615172369516,5.00320470997198,1.2483571,2.1093374
Sculpture,0.001,9.07850654330806,0.480461933007704,0.500123249140733,1.3445078,2.9869747
Sculpture,0.0001,6.86549566651899,0.0482002688162655,0.0502236524213642,1.7911399,5.1871373
