Method,CR,RMSE_mm
ZIP,3.25058215314823,0
LAZ lossless,11.7638032109564,7.96242538062177e-05
LAZ lossy,11.7638032109564,7.96242538062177e-05
PTC,9.62240297946041,0.499955528360243
