ScaleFactor,CR,MAE_mm,RMSE_mm,CompTime_s,DecompTime_s
0.1,12.1045011907879,47.541670520767,49.5266225836147,2.4525439,3.8574307
0.01,11.6035368046861,4.80136355081496,4.99841775238755,3.1237299,3.9012225
0.001,9.69617835769183,0.480158082079688,0.499834654396865,3.5379718,7.1202745
0.0001,7.49653452095077,0.0482748988398453,0.0503140246832959,3.9118765,11.2267033
